PROMIS_Seizure_SeizureName,Ecgonine,Benzoylecgonine,N_Formylcocaine,Ecgonine_methyl_ester,Norcocaine,cis_Cinnamoylcocaine,trans_Cinnamoylcocaine,Percent_Truxilline,Trimethoxycocaine,Tropacocaine,Acetone,Acetonitrile,Benzene,Chloroform,Ethyl_acetate,Hexane,Isobutyl_acetate,Mesitylene,Methyl_acetate,MEK,MIBK,Methylene_Chloride,nPropyl_acetate,Toluene,MP_Xylene,O_Xylene,Methylisobutenylketone,Methylbenzoate,Aspirin,Benzocaine,Caffeine,Dextromorphan,Paracetamol,Phenacetin,Phenobarbitol,Theophylline,Creatine,Creatinine,Diltiazem,Hydroxyzine,Ketamine,Levamisole,Dexamisole,Lignocaine,Nicotinamide,Procaine,Quinine,Strychnine,Thebaine,Sugar_Fructose,Sugar_Glucose,Sugar_Inositol,Sugar_Lactose,Sugar_Maltose,Sugar_Mannitol,Sugar_Sorbitol,Sugar_Sucrose
PS3080497,0.05,0.11,0.02,0.02,0.01,0.07,0.18,2.5975,0.2,0.01,0,0,1.833,0,4.758,0.3031,3.8636,0.0799,0.1793,0,0,1.0697,83.9392,2.7542,0.9669,0.1243,0,0.1289,0,0,0,0,0,0,0,0,0,0,2.2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.02,0.08,0.02,0.03,0.01,0.08,0.2,2.7224,0.23,0.01,0,0,1.8686,0,4.891,0.2531,3.6292,0.0723,0.6561,0,0,1.1072,83.5272,2.7807,0.9701,0.1221,0,0.1224,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.03,0.08,0.01,0.03,0.01,0.08,0.22,2.7977,0.23,0.01,0,0,1.8704,0,4.8129,0.2731,3.6642,0.0697,0.7693,0,0,1.1065,83.5115,2.6834,0.9833,0.134,0,0.1217,0,0,0,0,0,0,0,0,0,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.04,0.1,0.01,0.03,0.01,0.08,0.21,2.3809,0.24,0.01,0,0,1.8562,0,4.7908,0.2778,3.6635,0.0791,0.6813,0,0,1.0869,83.5793,2.788,0.9563,0.1301,0,0.1107,0,0,0,0,0,0,0,0,0,0,1.8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.02,0.07,0.01,0.03,0.01,0.08,0.2,2.618,0.22,0.01,0,0,1.8488,0,4.8495,0.2472,3.6354,0.0633,0.6009,0,0,1.1027,83.6452,2.8052,0.9513,0.1301,0,0.1205,0,0,0,0,0,0,0,0,0,0,2.1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.05,0.12,0.02,0.03,0.01,0.09,0.23,2.7956,0.25,0.02,0,0,1.8533,0,4.8019,0.2766,3.7851,0.0733,0.4377,0,0,1.1082,83.7405,2.7127,0.9503,0.1259,0,0.1345,0,0,0,0,0,0,0,0,0,0,2.2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.04,0.1,0.03,0.03,0.01,0.1,0.25,2.8319,0.27,0.01,0,0,1.8313,0,4.7529,0.288,3.7964,0.0753,0.4607,0,0,1.0709,83.7186,2.7925,0.9645,0.124,0,0.1249,0,0,0,0,0,0,0,0,0,0,2.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.04,0.1,0.03,0.03,0.02,0.09,0.24,2.6652,0.27,0.02,0,0,1.8306,0,4.7729,0.2747,3.7834,0.0772,0.4876,0,0,1.074,83.6577,2.8439,0.9414,0.1283,0,0.1283,0,0,0,0,0,0,0,0,0,0,2.7893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.05,0.11,0.03,0.03,0.02,0.09,0.23,2.9225,0.26,0.02,0,0,1.8495,0,4.8043,0.2792,3.6575,0.0729,0.3802,0,0,1.0677,83.993,2.7242,0.9278,0.1206,0,0.1232,0,0,0,0,0,0,0,0,0,0,1.4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.03,0.09,0.03,0.03,0.02,0.09,0.23,2.8002,0.26,0.02,0,0,1.9247,0,4.8198,0.2443,3.4914,0.0617,0.3261,0,0,1.1332,84.0998,2.707,0.958,0.1152,0,0.1189,0,0,0,0,0,0,0,0,0,0,2.3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.02,0.17,0.04,0.03,0.07,0,0.07,4.6612,0.1,0.17,0,0,3.0667,0,36.6862,1.2529,0.8471,0,0,6.3931,0,0,47.6362,3.6854,0.2552,0.0327,0,0.1446,0,0,0,0,0,0,0,0,0,0,0,5.1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.02,0.09,0.03,0.07,0.02,0.18,0.14,6.0374,0.1,0.19,0,0,6.2433,0,31.2196,0.5438,0.9173,0,0,13.4625,0,0,40.7483,5.6126,0.8327,0.1522,0,0.2678,0,0,0,0,0,0,0,0,0,0,0,0.9388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.02,0.17,0.02,0.02,0.04,0,0.04,5.0262,0.11,0.16,0,0,3.191,0,34.7641,1.0895,0.8531,0,0,6.1916,0,0,48.6547,3.6651,0.2455,0.0313,0,1.3142,0,0,0,0,0,0,0,0,0,0,0,5.1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.01,0.07,0.03,0.08,0.01,0.17,0.14,6.2585,0.1,0.19,0,0,6.3179,0,30.9708,0.5493,0.9046,0,0,13.4023,0,0,41.0346,5.6366,0.8862,0.1564,0,0.1413,0,0,0,0,0,0,0,0,0,0,0,0.8818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.01,0.08,0.03,0.04,0.01,0,0.03,5.3438,0.09,0.17,0,0,5.5854,0,54.6097,0.4504,0.4912,0,0,14.3178,0,0,19.4851,4.22,0.6053,0.094,0,0.1411,0,0,0,0,0,0,0,0,0,0,0,1.9079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3081120,0.02,0.12,0.04,0.03,0.02,0.01,0.03,4.4584,0.11,0.16,0,0,4.8207,0,16.7013,0.7104,0.8705,0,0,6.8836,0,0,64.7465,4.7683,0.2988,0.0432,0,0.1566,0,0,0,0,0,0,0,0,0,0,0,2.3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS3080497,0.06,0.09,0.01,0.03,0.01,0.07,0.18,3.4103,0.24,0.01,0,0,1.8467,0,4.8682,0.2711,3.5669,0.0665,0.3351,0,0,1.1333,83.8604,2.882,0.9766,0.126,0,0.0671,0,0,0,0,0,0,0,0,0,0,2.5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
